date,hour_beginning,contract_value,label
4/5/19,0,-0.035,actual
4/5/19,1,0.1325,actual
4/5/19,2,0.535,actual
4/5/19,3,0.5275,actual
4/5/19,4,0.2225,actual
4/5/19,5,0,actual
4/5/19,6,0.0075,actual
4/5/19,7,0.5375,actual
4/5/19,8,0.1725,actual
4/5/19,9,-0.0875,actual
4/5/19,10,-0.1,actual
4/5/19,11,0.0625,actual
4/5/19,12,0.4825,actual
4/5/19,13,0.6625,actual
4/5/19,14,0.595,actual
4/5/19,15,0.5775,actual
4/5/19,16,0.3775,actual
4/5/19,17,0.6075,actual
4/5/19,18,0.5925,actual
4/5/19,19,0.565,actual
4/5/19,20,-0.4825,actual
4/5/19,21,0.8775,actual
4/5/19,22,1.5775,actual
4/5/19,23,1.025,actual
4/6/19,0,0.34,actual
4/6/19,1,0.05,actual
4/6/19,2,0,actual
4/6/19,3,0,actual
4/6/19,4,0,actual
4/6/19,5,0,actual
4/6/19,6,0,actual
4/6/19,7,0,actual
4/6/19,8,0,actual
4/6/19,9,0,actual
4/6/19,10,0,actual
4/6/19,11,0,actual
4/6/19,12,0,actual
4/6/19,13,-0.0025,actual
4/6/19,14,-0.05,actual
4/6/19,15,-0.07,actual
4/6/19,16,-0.0875,actual
4/6/19,17,-0.09,actual
4/6/19,18,0,actual
4/6/19,19,0,actual
4/6/19,20,0,actual
4/6/19,21,0,actual
4/6/19,22,0,actual
4/6/19,23,0,actual
4/7/19,0,0,actual
4/7/19,1,0,actual
4/7/19,2,0,actual
4/7/19,3,-0.025,actual
4/7/19,4,-0.0575,actual
4/7/19,5,0,actual
4/7/19,6,-0.335,actual
4/7/19,7,-0.0125,actual
4/7/19,8,-0.085,actual
4/7/19,9,-0.19,actual
4/7/19,10,0,actual
4/7/19,11,0,actual
4/7/19,12,0,actual
4/7/19,13,0,actual
4/7/19,14,0,actual
4/7/19,15,0,actual
4/7/19,16,0,actual
4/7/19,17,-0.01,actual
4/7/19,18,-0.095,actual
4/7/19,19,0,actual
4/7/19,20,0,actual
4/7/19,21,0,actual
4/7/19,22,0,actual
4/7/19,23,0,actual
4/8/19,0,0,actual
4/8/19,1,0,actual
4/8/19,2,0,actual
4/8/19,3,0,actual
4/8/19,4,0,actual
4/8/19,5,0,actual
4/8/19,6,0,actual
4/8/19,7,0,actual
4/8/19,8,0,actual
4/8/19,9,0.01,actual
4/8/19,10,0.025,actual
4/8/19,11,0,actual
4/8/19,12,0,actual
4/8/19,13,-0.0275,actual
4/8/19,14,-0.235,actual
4/8/19,15,-0.0225,actual
4/8/19,16,0,actual
4/8/19,17,0,actual
4/8/19,18,-2.19,actual
4/8/19,19,0,actual
4/8/19,20,0,actual
4/8/19,21,0,actual
4/8/19,22,0,actual
4/8/19,23,0,actual
4/9/19,0,0,actual
4/9/19,1,-0.135,actual
4/9/19,2,-0.2275,actual
4/9/19,3,6.8575,actual
4/9/19,4,-0.2525,actual
4/9/19,5,-0.3425,actual
4/9/19,6,-0.0325,actual
4/9/19,7,-0.0075,actual
4/9/19,8,0,actual
4/9/19,9,-0.1675,actual
4/9/19,10,-0.765,actual
4/9/19,11,-0.415,actual
