"date","hour_beginning","VALLEY","BEARKAT","TREADWELL","MCCAMEY","NORTH.TO.HOUSTON","PANHANDLE","label"
"2019-04-05",0,2556,NA,9999,9999,4531,3531,"actual"
"2019-04-05",1,2529,NA,9999,9999,4414,3530,"actual"
"2019-04-05",2,2553,NA,9999,9999,4393,3531,"actual"
"2019-04-05",3,2570,NA,9999,9999,4369,3530,"actual"
"2019-04-05",4,2597,NA,9999,9999,4383,3529,"actual"
"2019-04-05",5,2514,NA,9999,9999,4500,3529,"actual"
"2019-04-05",6,2491,NA,9999,9999,4703,3529,"actual"
"2019-04-05",7,2497,NA,9999,9999,4527,3529,"actual"
"2019-04-05",8,2494,NA,9999,9999,4618,3528,"actual"
"2019-04-05",9,2466,NA,9999,9999,4720,3528,"actual"
"2019-04-05",10,2472,NA,9999,9999,4747,3529,"actual"
"2019-04-05",11,2453,NA,9999,9999,4732,3529,"actual"
"2019-04-05",12,2442,NA,9999,9999,4709,3527,"actual"
"2019-04-05",13,2425,NA,9999,9999,4682,3526,"actual"
"2019-04-05",14,2405,NA,9999,9999,4689,3526,"actual"
"2019-04-05",15,2368,NA,9999,9999,4703,3524,"actual"
"2019-04-05",16,2393,NA,9999,9999,4733,3526,"actual"
"2019-04-05",17,2364,NA,9999,9999,4758,3526,"actual"
"2019-04-05",18,2404,NA,9999,9999,4805,3528,"actual"
"2019-04-05",19,2415,NA,9999,9999,4843,3527,"actual"
"2019-04-05",20,2413,NA,9999,9999,4841,3546,"actual"
"2019-04-05",21,2456,NA,9999,9999,4854,3546,"actual"
"2019-04-05",22,2461,NA,9999,9999,4638,3547,"actual"
"2019-04-05",23,2475,NA,9999,9999,4510,3547,"actual"
"2019-04-06",0,2450,NA,9999,9999,4709,3432,"actual"
"2019-04-06",1,2468,NA,9999,9999,4686,3428,"actual"
"2019-04-06",2,2495,NA,9999,9999,4549,3429,"actual"
"2019-04-06",3,2523,NA,9999,9999,4485,3430,"actual"
"2019-04-06",4,2531,NA,9999,9999,4475,3431,"actual"
"2019-04-06",5,2486,NA,9999,9999,4507,3430,"actual"
"2019-04-06",6,2478,NA,9999,9999,4596,3430,"actual"
"2019-04-06",7,2470,NA,9999,9999,4623,3420,"actual"
"2019-04-06",8,2439,NA,9999,9999,4741,3421,"actual"
"2019-04-06",9,2380,NA,9999,9999,4924,3421,"actual"
"2019-04-06",10,2360,NA,9999,9999,5180,3422,"actual"
"2019-04-06",11,2332,NA,9999,9999,5207,3423,"actual"
"2019-04-06",12,2294,NA,9999,9999,5228,3422,"actual"
"2019-04-06",13,2321,NA,9999,9999,5243,3422,"actual"
"2019-04-06",14,2308,NA,9999,9999,5247,3423,"actual"
"2019-04-06",15,2308,NA,9999,9999,5242,3422,"actual"
"2019-04-06",16,2306,NA,9999,9999,5269,3424,"actual"
"2019-04-06",17,2337,NA,9999,9999,5289,3425,"actual"
"2019-04-06",18,2344,NA,9999,9999,5322,3424,"actual"
"2019-04-06",19,2337,NA,9999,9999,5325,3424,"actual"
"2019-04-06",20,2360,NA,9999,9999,5337,3423,"actual"
"2019-04-06",21,2401,NA,9999,9999,5337,3423,"actual"
"2019-04-06",22,2417,NA,9999,9999,5157,3423,"actual"
"2019-04-06",23,2422,NA,9999,9999,4967,3423,"actual"
"2019-04-07",0,2473,NA,9999,9999,5158,3431,"actual"
"2019-04-07",1,2484,NA,9999,9999,4933,3432,"actual"
"2019-04-07",2,2490,NA,9999,9999,4768,3434,"actual"
"2019-04-07",3,2512,NA,9999,9999,4694,3431,"actual"
"2019-04-07",4,2534,NA,9999,9999,4666,3433,"actual"
"2019-04-07",5,2538,NA,9999,9999,4660,3432,"actual"
"2019-04-07",6,2527,NA,9999,9999,4668,3432,"actual"
"2019-04-07",7,2545,NA,9999,9999,4619,3433,"actual"
"2019-04-07",8,2557,NA,9999,9999,4702,3434,"actual"
"2019-04-07",9,2526,NA,9999,9999,4878,3432,"actual"
"2019-04-07",10,2509,NA,9999,9999,5090,3433,"actual"
