"date","hour_beginning","coast","east","farwest","north","northcentral","southcentral","southern","west","all","label"
"2019-04-05",0,9695.17,1210.05,2976.9,763.8,9192.58,5191.9,2597.92,1238.97,32867.29,"actual"
"2019-04-05",1,9281.53,1161.04,2977.81,735.19,8682.21,4799.37,2439.54,1184.93,31261.6,"actual"
"2019-04-05",2,9026.05,1085.49,2980.34,714.81,8355.35,4515.12,2348.95,1151.48,30177.59,"actual"
"2019-04-05",3,8935.57,1099.39,3007.92,709.15,8236.72,4403.78,2302.76,1117.85,29813.14,"actual"
"2019-04-05",4,9046.71,1119.61,3027.64,730.65,8418.06,4438.13,2294.27,1104.18,30179.25,"actual"
"2019-04-05",5,9506.59,1178.42,3062.32,768.92,9039.19,4740.12,2403.98,1124.64,31824.17,"actual"
"2019-04-05",6,10319.99,1297.21,3063.02,836.08,10196.92,5353.9,2710.56,1215.97,34993.64,"actual"
"2019-04-05",7,10682.65,1295.95,3063.69,856.5,10731.91,5654.13,2831.55,1274.98,36391.36,"actual"
"2019-04-05",8,10802.82,1335.52,3040.22,864.22,10770.4,5645.21,2793.04,1256.59,36508.03,"actual"
"2019-04-05",9,11070.8,1351.23,2999.48,924.37,10905.58,5763.55,2870.4,1236.41,37121.81,"actual"
"2019-04-05",10,11220.49,1389.08,3029.28,937.2,11112.02,5941.22,3003.59,1212.27,37845.15,"actual"
"2019-04-05",11,11480.95,1450.2,3087.95,935.15,11289.74,6088.73,3120.72,1223.46,38676.89,"actual"
"2019-04-05",12,11741.62,1459.65,3107.15,940.51,11481.42,6229.96,3236.54,1233.12,39429.96,"actual"
"2019-04-05",13,12150.62,1460.91,3134.09,947.66,11756.36,6306.89,3375.39,1318.49,40450.42,"actual"
"2019-04-05",14,12486.79,1484.47,3118.84,950.98,11992.72,6462.67,3475.39,1380.79,41352.66,"actual"
"2019-04-05",15,12803.24,1494.62,3114.76,946.34,12304.67,6759.74,3548.18,1441.81,42413.37,"actual"
"2019-04-05",16,12938.7,1513.02,3120.94,925.84,12644.06,7097.94,3576.13,1481.63,43298.25,"actual"
"2019-04-05",17,12716.29,1478.38,3120.84,913.03,12762.66,7232.38,3546.99,1488.25,43258.81,"actual"
"2019-04-05",18,12284.02,1461.97,3130.81,863.94,12509.15,7126.95,3419.14,1484.89,42280.86,"actual"
"2019-04-05",19,11948.18,1436.22,3130.48,848.06,12213.63,6866.25,3289.82,1436.77,41169.4,"actual"
"2019-04-05",20,11929.99,1458.39,3145.64,863.18,12302.7,6819.99,3290.17,1436.16,41246.23,"actual"
"2019-04-05",21,11621.53,1424.58,3132.09,833.82,11925.07,6597.48,3233.13,1401.9,40169.61,"actual"
"2019-04-05",22,11098.07,1342.95,3092.44,776.35,11292.58,6201.63,3088.51,1353.68,38246.21,"actual"
"2019-04-05",23,10522.6,1270.86,3061.69,775.78,10383.19,5731.14,2867.79,1243.92,35856.96,"actual"
"2019-04-06",0,9927.19,1192.83,3077.89,715.79,9567.91,5276.32,2712.11,1188.32,33658.36,"actual"
