date,hour_beginning,coastal,lz_north,lz_south_houston,lz_west,north,panhandle,south,south_houston,west,west_north,all
4/5/19,0,185.71,366.14,1138.44,7780.36,400.56,3301.54,1011.69,1138.44,4385.44,8146.5,9284.94
4/5/19,1,122.5,409.77,1270.77,8150.21,451.02,3252.51,1160.07,1270.77,4844.66,8559.98,9830.75
4/5/19,2,51.56,509.26,1116.93,8432.09,577.44,3044.43,1014.84,1116.93,5370.01,8941.35,10058.28
4/5/19,3,24.7,516.03,1086.63,8453.97,599.49,2931.51,1011.78,1086.63,5489.16,8970,10056.63
4/5/19,4,4,522.06,1037.42,8413.93,610.84,2950.99,991.75,1037.42,5415.84,8935.99,9973.41
4/5/19,5,0.37,557.48,848.6,8375.61,654.19,3021.51,812.17,848.6,5293.44,8933.09,9781.69
4/5/19,6,0,557.7,668.75,8283.64,665.88,2925.86,623.94,668.75,5294.4,8841.34,9510.09
4/5/19,7,0,497.95,678.16,7858.13,589.02,2808,623.62,678.16,5013.6,8356.08,9034.24
4/5/19,8,0,412.36,655.55,6920.07,463.7,2439.08,570.65,655.55,4514.56,7332.43,7987.98
4/5/19,9,0,209.6,486.22,5718.23,224.12,2213.19,419.18,486.22,3557.55,5927.83,6414.05
4/5/19,10,0,140.06,388.48,5821.8,154.42,2304.58,325.15,388.48,3566.2,5961.86,6350.34
4/5/19,11,2.92,148.21,520.66,6742.43,166.38,2613.53,408.06,520.66,4220.41,6890.64,7411.3
4/5/19,12,34.04,109.91,762.52,7192.37,120.04,2671.97,601.26,762.52,4637.48,7302.28,8064.8
4/5/19,13,125.76,105.48,1028.56,7350.98,111.06,2854.81,803.08,1028.56,4590.31,7456.46,8485.02
4/5/19,14,340.87,100.83,1256.09,7097.08,107.97,2841.66,823.63,1256.09,4339.87,7197.91,8454
4/5/19,15,435.99,105.85,1364.53,6922.54,118.34,2893.24,835.78,1364.53,4109.57,7028.39,8392.92
4/5/19,16,488.17,132.2,1527.64,6530.16,146.47,2651.67,956.61,1527.64,3947.08,6662.36,8190
4/5/19,17,636.78,202.82,1787.07,6637.49,227.6,2578.49,1084.67,1787.07,4099.84,6840.31,8627.38
4/5/19,18,675.58,369.47,1846.39,6991.97,400.9,2508.36,1109.25,1846.39,4513.73,7361.44,9207.83
4/5/19,19,535,538.73,1928.08,7037.75,590.84,2244.48,1354.17,1928.08,4780.08,7576.48,9504.56
4/5/19,20,564.26,590.63,1999.14,8167.22,670.83,2247.65,1459.36,1999.14,5814.9,8757.85,10756.99
4/5/19,21,754.85,696.27,2337.89,9836.27,798.58,2541.32,1649.77,2337.89,7125.9,10532.54,12870.43
4/5/19,22,858.52,716.28,2707.56,10040.11,813.01,1929.4,1927.62,2707.56,7935.4,10756.39,13463.95
4/5/19,23,1147.41,663.99,3096.77,10385.12,747.59,2424.7,2024.03,3096.77,7802.16,11049.11,14145.88
4/6/19,0,1475.96,607.17,3670.99,9904.97,673.44,2455.43,2202.39,3670.99,7375.91,10512.14,14183.13
4/6/19,1,1400.71,615.89,3496.59,9098.8,708.01,2160.49,2107.02,3496.59,6835.05,9714.69,13211.28
4/6/19,2,1132.88,630.21,3080.27,6852.9,709.45,2160.34,1978.98,3080.27,4581.73,7483.11,10563.38
4/6/19,3,825.34,580.42,2104.78,5037.86,637.98,1877.15,1350.79,2104.78,3031.79,5618.28,7723.06
4/6/19,4,664.9,364.36,1675.79,3678.65,366.57,1307.96,955.38,1675.79,2423.98,4043.01,5718.8
4/6/19,5,563.25,109.81,1861.04,3309.03,109.81,1456.42,1254.17,1861.04,1896.23,3418.84,5279.88
4/6/19,6,833.19,56.81,1773.77,3780.35,73.35,2347.98,921.07,1773.77,1435.35,3837.16,5610.93
4/6/19,7,902.35,83.18,1336.92,3419.06,118.89,2176.59,433.16,1336.92,1208.16,3502.24,4839.16
4/6/19,8,764.1,270.81,1112.14,4010.86,378.48,2139.29,314.01,1112.14,1797.93,4281.67,5393.81
4/6/19,9,1167.86,336.72,1414.18,2694.17,425.61,1491.51,212.87,1414.18,1147.22,3030.89,4445.07
4/6/19,10,1374.66,224.59,1666.13,1803.27,238.02,1368.52,297.45,1666.13,415.34,2027.86,3693.99
